id;title;subtitle
O1;Fantasie;Lebendige Vorstellungskraft und Tagträume
O2;Ästhetik;Liebe zur Kunst, Musik und Schönheit
O3;Gefühle;Tiefe Wahrnehmung und Ausdruck von Emotionen
O4;Handlungen;Offenheit für neue Erfahrungen im Alltag
O5;Ideen;Intellektuelle Neugier und Denkfreude
O6;Werte;Bereitschaft, eigene Überzeugungen zu hinterfragen
C1;Kompetenz;Vertrauen in die eigene Leistungsfähigkeit
C2;Ordentlichkeit;Bedürfnis nach Struktur und Sauberkeit
C3;Pflichtbewusstsein;Verantwortungsgefühl und Verlässlichkeit
C4;Leistungsstreben;Ehrgeiz, hohe Ansprüche an sich selbst
C5;Selbstdisziplin;Fähigkeit, Versuchungen zu widerstehen
C6;Besonnenheit;Überlegtes Handeln statt Impulsivität
E1;Herzlichkeit;Wärme und Offenheit gegenüber anderen
E2;Geselligkeit;Freude an sozialen Kontakten
E3;Durchsetzungsfähigkeit;Dominanz und Einfluss in Gruppen
E4;Aktivitätsniveau;Energie und Tatendrang
E5;Erlebnishunger;Suche nach Aufregung und Abwechslung
E6;Frohsinn;Positive Grundstimmung und Lebensfreude
A1;Vertrauen;Grundlegendes Zutrauen zu anderen
A2;Freimütigkeit;Ehrlichkeit und Direktheit
A3;Altruismus;Hilfsbereitschaft und Fürsorge
A4;Entgegenkommen;Entschlossenheit, Konflikte zu vermeiden
A5;Bescheidenheit;Keine übertriebene Selbstdarstellung
A6;Mitgefühl;Einfühlungsvermögen bei Leid und Not
ES1;Ruhe;Bleibst gelassen in stressigen Situationen
ES2;Geduld;Reagierst überlegt statt impulsiv
ES3;Zuversicht;Blickst optimistisch auf Herausforderungen
ES4;Soziale Sicherheit;Fühlst dich wohl in sozialen Situationen
ES5;Flexibles Reagieren;Du kannst in intensiven Momenten bewusst handeln
ES6;Belastbarkeit;Kommst mit Druck und Veränderungen gut klar
